normalized_text;aspect
makanlah ya dc bersemangat belajarnya itu hasil pendukung 02 bersaing dari penggemar abah itu;Pelaksanaan Program di Sekolah
kemarin saya dikritik anak anies karena saya mempertahankan bahwa mbg sangat berguna;Pelaksanaan Program di Sekolah
harus ya utamakan yang pelosok desa tertinggal ini jakarta bekasi cikarang rata rata orang tua ya makmur;Dukungan terhadap Program
kalau seperti begini sasaran ya tepat tetapi kalau di perkotaan kebanyakan anak-anak tidak makanlah kebanyakan kepada membuang;Pelaksanaan Program di Sekolah
kenapa bersekolah kami tidak mendapat mbg katanya gratis;Pelaksanaan Program di Sekolah
yang menghujat mbg kebanyakan ibu-ibu karena ingin mentahannya saja dengan alasan keracunanlah anaknya tidak menyukai menunya basilah makanannya padahal sebagian besar anak-anak senang dengan adanya mbg;Pelaksanaan Program di Sekolah
percaya tidak percaya orang yang mengolok-olok makan bergizi gratis kebanyakan anak-anak abah;Pelaksanaan Program di Sekolah
bapak presiden yang terhormat kapan makanlah bergizi di kabupaten mempawah kalimantan barat;Pelaksanaan Program di Sekolah
masya allah lebih baik lebih di fokuskan kepada anak pelosok saja mungkin ya lebih tepat sasaran;Dukungan terhadap Program
kalau bukan bapak prabowo yang menjadi presiden kita tidak akan pernah dapat melihat tersenyum anak-anak bersekolah;Pelaksanaan Program di Sekolah
mbg lebih banyak dampak positifnya daripada negatif di samping gizi terpenuhi motovasi belajar anak meningkat semoga kelak generasi itu dapat memajukan negeri ini;Ketidaksetujuan dan Risiko Program
makanlah saja adik urusan anak abah agar kami yang menangani;Pelaksanaan Program di Sekolah
bawaan kalau melihat anak papua ingin menangis;Pelaksanaan Program di Sekolah
khususkan mbg untuk anak pelosok saja di kota tidak dihargai;Ketidaksetujuan dan Risiko Program
masya allah tabarakallah terima kasih kepada bapak prabowo sehat-sehat selalu panjang umur selalu dalam lindungan allah swt;Dukungan terhadap Program
panjang umur bapak presiden saya bangga kepada anda bapak;Dukungan terhadap Program
ini benar di sma suamiku juga begini menjadi  sama-sama rajin masuk bersekolah;Ketidaksetujuan dan Risiko Program
terharu melihat orang papua bersemangat adik adik papua halo adik;Pelaksanaan Program di Sekolah
adik yang gemetar tangannya makanlah yang banyak ya;Pelaksanaan Program di Sekolah
terima memberikan bapak prabowo semoga generasi kedepan adalah generasi emas yang diharapkan amin ya rabbal 'aalamiin;Dukungan terhadap Program
tersenyum nya tulus sekali itu bahagia;Pelaksanaan Program di Sekolah
jujur saya sangat terbantu anak dua bersekolah yang penuh hari setiap bulan pembayaran katering lumayan sekali sekarang  mendapat mbg menjadi  meringankan kata anak saya juga  lauknya lezat pada menyukai;Pelaksanaan Program di Sekolah
terharu melihat anak anak menikmati makanan bergizi gratis bersyukur memiliki pemimpin hebat bapak prabowo;Pelaksanaan Program di Sekolah
tidak sia-sia sia-sia saya berdebat sama anak abah;Pelaksanaan Program di Sekolah
pasti 50 tahun kepada depan akan di kenang sama mereka dahulu di zaman bapak prabowo menjadi presiden kita dapat makanan gratis di bersekolah yakin sekali sehat selalu bapak prabowo;Pelaksanaan Program di Sekolah
makanlah yang banyak ya adik saya siap menahan kesal setiap sekali membaca komentar doakan bapak presiden panjang umur;Dukungan terhadap Program
datang lah ke papua agar anda tahu bersyukur;Dukungan terhadap Program
sedih sekali melihat warga facebook yang sama-sama menghujat mbg habis-habisan;Pelaksanaan Program di Sekolah
saya seorang ibu selalu berpesan kepada kepada tiga anak saya yang usia bersekolah apa pun menu mbg kalian harus tetap bersyukur menyukai makanlah kalau tidak menyukai membawa pulang jangan rewel sama dengan pesan guru mereka di bersekolah;Pelaksanaan Program di Sekolah
alhamdulillah ini kamu tujuan dari makanlah bergizi gratis;Pelaksanaan Program di Sekolah
mbg untuk anak yang bersyukur mendapatkan bukan untuk anak ibu;Pelaksanaan Program di Sekolah
terima memberikan bapak prabowo untuk program makanlah bergizi dan program ini juga  dapat membantu merekrut rakyat untuk bekerja semoga adanya program lagi yang dapat membahagiakan dan menyejahterakan rakyat indonesia dan semoga selalu sehat bapakku;Dukungan terhadap Program
telah saya menduga mbg ini berguna untuk orang berbeda karena saya dahulu mengalami setiap ingin berangkat bersekolah hampir tidak pernah sarapan karena ibu saya tidak sempat membuat sarapan dan alhamdulillah sekarang adanya presiden yang adanya program mbg ini semoga konsisten ini juga untuk menambah lowongan pekerjaan bagi setiap rakyat;Ketidaksetujuan dan Risiko Program
alhamdulillah kalian yang pandai bersyukur karena saya tahu rasanya hidup di pedalaman dan perekonomian sulit kalian sehat-sehat dan bahagia ya bersemangat sekolahnya belajar yang fokus untuk ke depannya kalian menjadi generasi yang memajukan indonesia;Dukungan terhadap Program
program yang sangat sangat baik menurut saya kenapa karena program mbg bukan hanya bertujuan meningkatkan asupan gizi bagi anak anak bersekolah melainkan juga berperan dalam menggerakkan ekonomi daerah dengan melibatkan petani lokal peternak nelayan serta pelaku umkm dari wilayah setempat dalam rantai pasok makan program ini mendorong perputaran ekonomi di daerah produksi dan distribusi bahan makanan seperti sayur buah telur dan lauk pauk segar yang bersumber dari daerah sendiri akan meningkatkan pendapatan masyarakat lokal selain itu keterlibatan dapur komunitas dan penyedia jasa katering di daerah membuka lapangan bekerja baru serta memperkuat struktur ekonomi lokal dengan demikian mbg menjadi benar satu strategi pembangunan yang berdampak langsung sama-sama penguatan ekonomi daerah secara berkelanjutan;Ketidaksetujuan dan Risiko Program
mohon khusus saudara kita papua di tambahi lebih gizinya mohon adanya perlakuan khusus untuk saudara papua;Ketidaksetujuan dan Risiko Program
alhamdulillah program mbg benar-benar sangat membantu;Dukungan terhadap Program
terima memberikan badan gizi nasional telah mempercepat mbg bagi kami di papua barat dan papua barat daya semoga untuk yang ibu hamil ibu menyusui dan balita juga dapat dipercepat juga;Ketidaksetujuan dan Risiko Program
senang bangeet programnya turun di sekolah yang anak nya benar membutuhkan;Pelaksanaan Program di Sekolah
kalau mereka ini memang benar-benar membutuhkan mbg tidak kah;Dukungan terhadap Program
gagah berani anti mengorupsi dan programnya sukses semua;Dukungan terhadap Program
bangga sekali sama bapak prabowo semoga sehat-sehat terus ya bapak;Dukungan terhadap Program
ya allah saya bangga dengan program gizi nasional karena dapat membantu orang-orang yang membutuhkan dan untuk kalian oknum orang-orang yang berlebih yang dapat makanlah di rumahnya jangan kalian hancurkan program ini melihat banyak orang yang membutuhkan makanan tersebut kalian mendukung program ini agar lebih baik kedepan nya;Pelaksanaan Program di Sekolah
senangnya m3ndegar ini berkah untuk mereka bagikan informasi yang positif bu;Dukungan terhadap Program
setuju kalau program mbg di salurkan kepada pelosok dahulu seperti daerah yang benar kekurangan gizi makan;Dukungan terhadap Program
terima memberikan bapak prabowo;Dukungan terhadap Program
kalau pengelolanya sangat baik tidak apa-apa tetapi  terkadang adanya pihak yang kurang sangat baik pengelolaannya;Ketidaksetujuan dan Risiko Program
terharu sehat selalu bapak presiden;Dukungan terhadap Program
terima kasih bapak prabowo saya salut dan bangga memiliki bapak;Dukungan terhadap Program
tidak sia-sia sia-sia pembayaran ppn pembayaran pajak semoga tidak di nodai tangan kotor;Dukungan terhadap Program
ini sudah benar di utamakan daerah terpencil dahulu;Dukungan terhadap Program
terima memberikan bapak presiden kami bapak prabowo subianto semoga selalu di berikan kesehatan bapak;Dukungan terhadap Program
di daerah memang tepat sasaran;Dukungan terhadap Program
sederhana dan membahagiakan tetapi  bagi pihak yang tidak menyukai akan tetap tidak suka benar;Pelaksanaan Program di Sekolah
memang yang benar bersyukur itu hanya anak timur;Dukungan terhadap Program
terima kasih bapak prabowo terharu saya melihatnya;Dukungan terhadap Program
sangat mendukung program ini banyak anak orang miskin tidak sarapan tidak membawa uang camilan mendapat makanan gratis;Pelaksanaan Program di Sekolah
sehat selalu bapak prabowo;Dukungan terhadap Program
saya sebagai relawan senang sekali melihat video ini;Dukungan terhadap Program
sumpah admin melihat tersenyum anak itu langsung berkaca kaca ini mata;Pelaksanaan Program di Sekolah
tersenyum mereka tulus sekali;Pelaksanaan Program di Sekolah
makanlah yang banyak anak anak saya;Pelaksanaan Program di Sekolah
adik adikku makanlah yang lahap ya;Pelaksanaan Program di Sekolah
ya allah sehat selalu untuk semua anak-anak indonesia hebat sehat selalu presiden terbaik bapak prabowo;Dukungan terhadap Program
melihat lah mereka untuk anda yang tidak setuju memprotes akan makanan makanan mbg;Pelaksanaan Program di Sekolah
makanlah yang lezat adik-adik doakan bapak prabowo panjang umur sehat;Dukungan terhadap Program
alhamdulillah terima kasih bapak prabowo;Dukungan terhadap Program
sudut pandang ketika bantuan diterima orang yang tepat dan tahu rasanya berterima memberikan;Dukungan terhadap Program
ini manfaat program prabowo selalu bersyukur apa pun menu makanan menjadi lezat;Dukungan terhadap Program
ya untuk desa tertinggal masih sangat membutuhkan dan itu harus menjadi prioritas;Dukungan terhadap Program
jika uangnya dari rakyat untuk rakyat begini oke oke saja sih pembayaran pajak;Ketidaksetujuan dan Risiko Program
ini lo maksud bapak prabowo mengapa masih banyak yang tidak menyukai sih;Pelaksanaan Program di Sekolah
ini yang menanyakan lowongan bekerja pengantar pengepakan  mbg juga di gaji ya;Ketidaksetujuan dan Risiko Program
dengarkan itu tukang mencela sama presiden;Pelaksanaan Program di Sekolah
ikhlas rida saya memang apbn besar untuk mereka makanan bergizi gratis hanya untuk orang-orang yang bersyukur;Pelaksanaan Program di Sekolah
tidak pernah menghujat mbg walaupun anak saya selalu mengatakan makanannya tidak lezat saya selalu mengatakan hidup itu harus bersyukur mencoba melihat di luar sana banyak anak yang tidak dapat makanlah dan kalau ingin makanlah mereka harus bekerja dahulu;Pelaksanaan Program di Sekolah
ingat ya program ini hanya untuk orang yang bersyukur;Dukungan terhadap Program
tugas kita sebagai orang tua beri pengertian kepada anak kita untuk selalu bersyukur;Pelaksanaan Program di Sekolah
terima memberikan presiden saya;Dukungan terhadap Program
pendukung prabowo pasti tahu caranya bersyukur;Dukungan terhadap Program
jika engkau tidak dapat membantu orang setidaknya dukunglah program bapak presiden demi yang terbaik untuk rakyatnya;Dukungan terhadap Program
selamat menikmati anak anak ini hasil kita kita bersaing sama anak abah;Pelaksanaan Program di Sekolah
inilah mengapa bapak memikirkan yang seperti ini menjadi semua tepat sasaran di untuk merata tetapi masih saja adanya yang menghujat belajarlah lebih bersyukur dan banyak berpikir positif agar lebih sehat;Dukungan terhadap Program
senyumanmu memberikan harapan untuk indonesia lebih baik anak-anak senang karena ingin mendapat mbg;Dukungan terhadap Program
bahagia sekali saya melihat ini ya allah lindungi bapak prabowo dari orang-orang yang jahat dan zalim jauhkan dan selamatkan bapak presiden saya dari mereka yang pembenci pendengki dan berniat buruk juga jahat amin ya allah;Dukungan terhadap Program
di kota tidak diberikan tidak saya ikhlas kok kalau untuk yang di pedalaman;Dukungan terhadap Program
sehat selalu bapak prabowo;Dukungan terhadap Program
selamat menikmati ya adik-adik itu lah perjuangan kami sejak tahun 2014 2019 2024 karena saya yakin hanya bapak prabowo yang akan membawa bangsa indonesia kepada depan lebih maju doa kan semoga bapak prabowo di berikan panjang umur amin;Dukungan terhadap Program
bantuan program yang ber bentuk uang belum tentu sampai dan tepat sasaran mbg sangat membantu apa lagi untuk desa terpencil;Dukungan terhadap Program
makanlah yang lahap ya anak anak saya tumbuh sehat dan menjadi  anak yang pintar;Pelaksanaan Program di Sekolah
nah lebih baik utamakan yang di pelosok begini dahulu deh;Dukungan terhadap Program
saya menyukai sekali melihat saudara kami di timur ini apa pun yang di berikan selalu menerima dengan merasa syukur nya luar biasa selamat menikmati saudaraku;Dukungan terhadap Program
menonton video ini hei kalian kaum 16 24 mengakui saja bahwa pemerintahan kita is the best;Dukungan terhadap Program
sejak ada mbg di sekolah uang saku kedua anak saya alhamdulillah selalu ada sisa untuk disimpan;Pelaksanaan Program di Sekolah
bapak prabowo tentara yang terjun di lapangan beliau tahu masih banyak rakyat yang lapar maka diadakan program ini program ini selain dapat memberikan makanlah gratis juga dapat membuka lapangan pekerjaan;Ketidaksetujuan dan Risiko Program
makanlah yang lahap ya adik itu hasil dari npwp abang kalau kurang abang rela mengapa sebagian kecil gaji abang dipotong juga untuk program ini jangan semua nanti abang yang tidak makanlah lagi;Pelaksanaan Program di Sekolah
ya allah sehatkan presiden saya bimbinglah beliau dalam membangun indonesia maju ya allah izinkan beliau terus membahagiakan rakyatnya hamba mohon lindungi beliau dari kejamnya orang zalim di sekelilingnya amin allahumma amin;Dukungan terhadap Program
banyak yang keluhan  mengenai basi tidak enak kalau memang itu laporkan katering nya jangan menyuruh berhenti program nya hanya karena ego kalian banyak yang membutuhkan program mbg ini tidak semua orang dapat membawa bekal terkadang camilan saja pas-pasan;Pelaksanaan Program di Sekolah
terima memberikan bapak prabowo;Dukungan terhadap Program
ya allah terima memberikan bapak prabowo saya telah memberikan msg untuk adik-adik di luar sana yang tidak bisa menikmati makanlah lezat sehat selalu presiden saya bersemangat bapak saya yakin bapak dapat membuktikan semua nya insya allah saya selalu mendoakan bapak;Dukungan terhadap Program
senang melihat nya anak menyambut gembira mbg;Pelaksanaan Program di Sekolah
alhamdulillah papua sudah mendapat mbg;Dukungan terhadap Program
mbg cocok untuk anak yang bersekolah di daerah di kota saya yang mendapat bersekolah yang anaknya di antar mobil sama orang tuanya yang biasa membawa bekal lengkap dari rumah alhasil mbg banyak yang terbuang anggaran terbuang riil sekolahnya dekat dengan rumah saya;Pelaksanaan Program di Sekolah
kakak tidak jadi memasak bersama india kan;Pelaksanaan Program di Sekolah
nah ini yang harus di utamakan;Dukungan terhadap Program
senang sekali melihat nya sehat adik makanlah ya berguna sekali untuk anak yang benar membutuhkan;Pelaksanaan Program di Sekolah
semoga kateringnya juga semakin kreatif dan enak-enak untuk anak-anak indonesia bahagia sehat;Dukungan terhadap Program
contoh anak-anak yang bersyukur tidak memilah memilih makanan;Pelaksanaan Program di Sekolah
ikhlas saya ikhlas;Dukungan terhadap Program
berdiri di atas emas tetapi mereka kesulitan makan;Dukungan terhadap Program
terima kasih orang baik;Dukungan terhadap Program
semoga sukses dan berkembang;Dukungan terhadap Program
telah saatnya kita fokus bekerja teman tidak sia-sia kita melawan anak abah memenangkan beliau;Pelaksanaan Program di Sekolah
senang sangat sama program ini ingat sekali dahulu kalau ibu tidak memasak lauk apa apa kita makan nasi campur garam saja yang penting makan saya tahu bagaimana bahagia nya merasa nya mendapat makanan itu;Pelaksanaan Program di Sekolah
terima kasih bapak tidak sia-sia saya tidak memilih anies;Dukungan terhadap Program
makanlah yang kenyang adik itu hasil kami melawan monster;Pelaksanaan Program di Sekolah
semoga seluruh pemasok yang menyiapkan mbg amanah maju jaya indonesia saya;Dukungan terhadap Program
anak anak seperti ini ini yang pandai bersyukur;Pelaksanaan Program di Sekolah
ketahuilah bapak prabowo membuat program mbg ini bukan sembarangan karena beliau tahu keadaan anak indonesia terutama di papua kekurangan gizi terima kasih bapak presiden kami;Dukungan terhadap Program
untuk mitra buruh memasak atau pimpinan sppg tolong di maksimalkan ya dan jangan kecewakan mereka yang benar-benar menghargai dan membutuhkan mbg ini;Ketidaksetujuan dan Risiko Program
makanlah yang kenyang ya Anak;Pelaksanaan Program di Sekolah
kalian yang menyukai menyinyir sama program ini pasti menangis kalau benar-benar tahu makna dari makanan bergizi gratis;Pelaksanaan Program di Sekolah
melihat melihat astaghfirullah kebutuhan primer saja masih belum terpenuhi menjadi  ini sudah  tepat daripada internet gratis bertahap hei;Pelaksanaan Program di Sekolah
sarapan itu penting;Ketidaksetujuan dan Risiko Program
semuanya sedang di usahakan mari koreksi yang benar mendukung yang benar dari program pemerintah kita sekarang  sama berada di naungan bendera merah putih;Ketidaksetujuan dan Risiko Program
inilah orang orang yang pandai bersyukur;Pelaksanaan Program di Sekolah
melihat anak anak papua atau timur sana itu pandai sekali bersyukur nya ya allah senang melihatnya;Dukungan terhadap Program
melihat mereka makanannya lahap itu seperti bersyukur sekali;Pelaksanaan Program di Sekolah
kalau di pelosok seperti ini benar benar sangat disyukuri sekali terima kasih program yang sangat bermanfaat bapak presiden;Dukungan terhadap Program
makanan gratis untuk papua saja mereka lebih bersyukur daripada yang di kota inginnya bbm gratis dari abah hasil korupsi riza khalid;Pelaksanaan Program di Sekolah
saya mendukung program makanlah gratis bergizi karena adanya program ini anak saya dapat makanlah lezat setiap hari ya terima kasih bapak presiden prabowo telah mengadakan program ini;Dukungan terhadap Program
di sisi berbeda adanya yang mencemooh program mbg gaduh ingin membantu palestina sampai boikot ini itu;Ketidaksetujuan dan Risiko Program
bersemangat terima memberikan pemerintah di bawah kepemimpinan bapak presedin prabowo;Dukungan terhadap Program
hanya orang-orang yang bersyukur dapat menerima dengan senang dan bahagia terima memberikan bapak prabowo;Dukungan terhadap Program
buka mata kalian yang masih tidak terima dengan program mbg;Ketidaksetujuan dan Risiko Program
kami ikhlas bapak presiden utamakan kepada daerah pelosok dahulu;Dukungan terhadap Program
mereka sangat bersyukur ya tidak adanya mengeluh mengenai makanannya;Pelaksanaan Program di Sekolah
makanlah yang kenyang adik itu hasil saya berdebat sama anak abah;Pelaksanaan Program di Sekolah
luar biasa banyak yang senang di pelosok pelosok desa terutama di desa kami terima kasih bapak prabowo;Dukungan terhadap Program
saya setuju sekali kalau papua diutamakan terutama yang daerah pedalaman;Dukungan terhadap Program
alhamdulillah turut senang uang pajak saya tersalurkan;Dukungan terhadap Program
halo adik-adik makanlah ya yang kenyang mudah-mudahan dengan adanya makanan gratis ini adik-adik belajarnya menjadi  lebih fokus karena perutnya sudah  kepada isi;Pelaksanaan Program di Sekolah
ya allah semoga sampai kepada halaman rekomendasi orang yang memiliki mulut menyukai bicara tidak membutuhkan mbg membutuhkannya lapangan bekerja sesusah itu menyadarkan pikiran orang yang sudah  sangat membenci itu sama bapak sehat selalu untuk bapak prabowo kesayangan saya;Pelaksanaan Program di Sekolah
alhamdulillah ya allah sehat selalu ya untuk anak negeri saya tercinta penerus bangsa kelak kalau menjadi pemimpin kelak yang amanah ya anak;Dukungan terhadap Program
semoga berjalan dengan baik program bapak prabowo dengan mbg;Dukungan terhadap Program
terima kasih bapak prabowo;Dukungan terhadap Program
ade saya mendapat mbg uang sakunya menjadi  utuh katanya makanannya lezat lezat;Pelaksanaan Program di Sekolah
hebat bapak programnya sampai kepada papua simpan generasi bangsa;Dukungan terhadap Program
saya tidak pernah menyesal sekalipun memilih bapak prabowo tiga sekali beliau mencalonkan diri sehat selalu bapak;Pelaksanaan Program di Sekolah
saya ikhlas dana apbn di pakai untuk makanlah bergizi bersekolah rakyat dan semuanya yang menyangkut kepentingan rakyat menengah ke Bawah;Ketidaksetujuan dan Risiko Program
allhamdulilah sudah sampai kepada papua kasihan anak anak kalau ingin bersekolah tidak makanlah nanti tidak fokus belajarnya;Pelaksanaan Program di Sekolah
sehat terus bapak prabowo;Dukungan terhadap Program
mantap bu guru menjadi  panutan untuk murid dan masyarakat harus bersyukur dengan adanya makanlah gratis anak bersekolah akan dapat menjamin anak bersekolah tidak kelaparan;Pelaksanaan Program di Sekolah
terima kasih bapak prabowo sehat sehat panjang umur selalu dalam lindungan allah;Dukungan terhadap Program
bermanfaat di tempat yang tepat;Ketidaksetujuan dan Risiko Program
itu melihat anak abah anak bangsa menjadi  bersemangat belajar dan fokus dalam belajar setelah makanlah gratis dari bapak prabowo;Pelaksanaan Program di Sekolah
ya allah berikan saya gaji 3 juta hari maka mereka menjaga turut merasakan kenyang nya;Ketidaksetujuan dan Risiko Program
saya lebih mendukung mbg ini diberikan kepada anak papua;Ketidaksetujuan dan Risiko Program
sementara di planet berbeda tetap adanya yang mengatakan mengapa mbg menunya mi padahal semua menu mbg telah dihitung dapat ahli gizi memang dasarnya saja pembenci akan juga  pembenci;Ketidaksetujuan dan Risiko Program
yang mengatakan makanlah gratis tidak penting tolong buka mata kalian masih banyak orang yang bersyukur mendapat makanlah gratis melihat dari cara mereka makanlah dari cara beliau tersenyum saat menerima makanan itu sebahagia itu lo mereka belajar bersyukur dari hal kecil seperti ini;Pelaksanaan Program di Sekolah
terima kasih bapak prabowo;Dukungan terhadap Program
ya allah bapak prabowo terlalu baik beliau memberikan makanlah lo bapak terima kasih anak saya juga  mendapat meskipun beliau tingal di rumah nenek nya dan nenek nya terkena strok terkadang  anak saya tidak sarapan pagi tetapi alhamdulillah adanya mendapat rezeki makanlah gratis ini terima memberikan bapak semoga bapak selalu sehat dan panjang umur;Pelaksanaan Program di Sekolah
masya allah senang melihatnya programnya berjalan dengan baik terima kasih bapak prabowo;Dukungan terhadap Program
masya allah hepi sekali melihat anak anak tersenyum bersemangat bahagia bapak prabowo sehat sehat ya agar dapat terus memberikan kebahagiaan kepada masyarakat dan anak anak bangsa;Dukungan terhadap Program
yang tidak mendukung mbg melihat ini deh;Ketidaksetujuan dan Risiko Program
